Info 0    [16:09:46.090] Starting TS Server
Info 54   [16:09:54.283] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 7.39166796207428ms
Info 55   [16:09:54.283] Different program with same set of files:: structureIsReused:: 2
Info 56   [16:09:54.284] getCompletionData: Get current token: 0.008120059967041016
Info 57   [16:09:54.284] getCompletionData: Is inside comment: 0.029767990112304688
Info 58   [16:09:54.284] getCompletionData: Get previous token 1: 0.017974019050598145
Info 59   [16:09:54.285] getCompletionData: Get previous token 2: 0.04987895488739014
Info 60   [16:09:54.286] getCompletionsAtPosition: isCompletionListBlocker: 0.9062669277191162
Info 61   [16:09:54.286] Returning an empty list because completion was requested in an invalid position.
Info 62   [16:09:55.318] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 63   [16:09:55.323] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 4.8236260414123535ms
Info 64   [16:09:55.323] Different program with same set of files:: structureIsReused:: 2
Info 65   [16:09:57.135] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [16:09:57.139] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 3.4760799407958984ms
Info 67   [16:09:57.139] Different program with same set of files:: structureIsReused:: 2
Info 68   [16:09:59.673] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [16:09:59.678] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 4.2158520221710205ms
Info 70   [16:09:59.678] Different program with same set of files:: structureIsReused:: 2
Info 71   [16:09:59.946] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 72   [16:09:59.950] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 3.3331730365753174ms
Info 73   [16:09:59.950] Different program with same set of files:: structureIsReused:: 2
Info 74   [16:10:00.302] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 75   [16:10:00.306] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 4.144351959228516ms
Info 76   [16:10:00.306] Different program with same set of files:: structureIsReused:: 2
Info 77   [16:10:19.274] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 78   [16:10:19.284] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 6.906105041503906ms
Info 79   [16:10:19.284] Different program with same set of files:: structureIsReused:: 2
Info 80   [16:10:19.324] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 81   [16:10:19.331] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 6.837455987930298ms
Info 82   [16:10:19.331] Different program with same set of files:: structureIsReused:: 2
Info 83   [16:10:20.358] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 84   [16:10:20.366] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 8.58733606338501ms
Info 85   [16:10:20.366] Different program with same set of files:: structureIsReused:: 2
Info 86   [16:10:22.403] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 87   [16:10:22.419] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 15.85838794708252ms
Info 88   [16:10:22.419] Different program with same set of files:: structureIsReused:: 2
Info 89   [16:10:22.709] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 90   [16:10:22.716] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 6.5875279903411865ms
Info 91   [16:10:22.716] Different program with same set of files:: structureIsReused:: 2
Info 92   [16:11:02.970] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 93   [16:11:02.977] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 6.490832090377808ms
Info 94   [16:11:02.977] Different program with same set of files:: structureIsReused:: 2
Info 95   [16:11:03.341] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 96   [16:11:03.348] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 6.899590015411377ms
Info 97   [16:11:03.348] Different program with same set of files:: structureIsReused:: 2
Info 98   [16:11:04.141] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 99   [16:11:04.148] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 6.832116007804871ms
Info 100  [16:11:04.148] Different program with same set of files:: structureIsReused:: 2
Info 101  [16:11:04.148] getCompletionData: Get current token: 0.006947040557861328
Info 102  [16:11:04.149] getCompletionData: Is inside comment: 0.02390897274017334
Info 103  [16:11:04.149] getCompletionData: Get previous token 1: 0.01605403423309326
Info 104  [16:11:04.149] getCompletionData: Get previous token 2: 0.09167695045471191
Info 105  [16:11:04.149] getCompletionsAtPosition: isCompletionListBlocker: 0.2280060052871704
Info 106  [16:11:04.164] getSymbolsFromOtherSourceFileExports: Using cached list
Info 107  [16:11:04.165] getCompletionData: Semantic work: 16.255064964294434
Info 108  [16:11:04.181] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.921594023704529
Info 109  [16:11:04.207] getCompletionData: Get current token: 0.007925987243652344
Info 110  [16:11:04.207] getCompletionData: Is inside comment: 0.02517104148864746
Info 111  [16:11:04.207] getCompletionData: Get previous token 1: 0.017130017280578613
Info 112  [16:11:04.207] getCompletionData: Get previous token 2: 0.057202935218811035
Info 113  [16:11:04.207] getCompletionsAtPosition: isCompletionListBlocker: 0.018514037132263184
Info 114  [16:11:04.217] getSymbolsFromOtherSourceFileExports: Using cached list
Info 115  [16:11:04.220] getCompletionData: Semantic work: 12.401520013809204
Info 116  [16:11:04.246] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 26.13605797290802
Info 117  [16:11:04.256] getCompletionData: Get current token: 0.007943987846374512
Info 118  [16:11:04.256] getCompletionData: Is inside comment: 0.030429959297180176
Info 119  [16:11:04.256] getCompletionData: Get previous token 1: 0.017854928970336914
Info 120  [16:11:04.256] getCompletionData: Get previous token 2: 0.03185403347015381
Info 121  [16:11:04.256] getCompletionsAtPosition: isCompletionListBlocker: 0.02940201759338379
Info 122  [16:11:04.266] getSymbolsFromOtherSourceFileExports: Using cached list
Info 123  [16:11:04.266] getCompletionData: Semantic work: 9.967756032943726
Info 124  [16:11:04.272] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.736614942550659
Info 125  [16:11:04.287] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 126  [16:11:04.297] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 9.376806020736694ms
Info 127  [16:11:04.297] Different program with same set of files:: structureIsReused:: 2
Info 128  [16:11:04.297] getCompletionData: Get current token: 0.012922048568725586
Info 129  [16:11:04.297] getCompletionData: Is inside comment: 0.03648197650909424
Info 130  [16:11:04.297] getCompletionData: Get previous token 1: 0.018811941146850586
Info 131  [16:11:04.297] getCompletionData: Get previous token 2: 0.09423494338989258
Info 132  [16:11:04.297] getCompletionsAtPosition: isCompletionListBlocker: 0.028745055198669434
Info 133  [16:11:04.300] getSymbolsFromOtherSourceFileExports: Using cached list
Info 134  [16:11:04.301] getCompletionData: Semantic work: 3.2066019773483276
Info 135  [16:11:04.317] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.754097938537598
Info 136  [16:11:04.333] getCompletionData: Get current token: 0.02510392665863037
Info 137  [16:11:04.333] getCompletionData: Is inside comment: 0.040493011474609375
Info 138  [16:11:04.333] getCompletionData: Get previous token 1: 0.02237105369567871
Info 139  [16:11:04.333] getCompletionData: Get previous token 2: 0.03333103656768799
Info 140  [16:11:04.333] getCompletionsAtPosition: isCompletionListBlocker: 0.015021085739135742
Info 141  [16:11:04.338] getSymbolsFromOtherSourceFileExports: Using cached list
Info 142  [16:11:04.338] getCompletionData: Semantic work: 5.284790992736816
Info 143  [16:11:04.343] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4.677296042442322
Info 144  [16:11:04.348] getCompletionData: Get current token: 0.009312987327575684
Info 145  [16:11:04.348] getCompletionData: Is inside comment: 0.033157944679260254
Info 146  [16:11:04.348] getCompletionData: Get previous token 1: 0.019441962242126465
Info 147  [16:11:04.348] getCompletionData: Get previous token 2: 0.03762102127075195
Info 148  [16:11:04.348] getCompletionsAtPosition: isCompletionListBlocker: 0.0144120454788208
Info 149  [16:11:04.354] getSymbolsFromOtherSourceFileExports: Using cached list
Info 150  [16:11:04.354] getCompletionData: Semantic work: 5.762527942657471
Info 151  [16:11:04.386] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 30.69376790523529
Info 152  [16:11:04.393] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 153  [16:11:04.398] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 5.142035007476807ms
Info 154  [16:11:04.398] Different program with same set of files:: structureIsReused:: 2
Info 155  [16:11:04.398] getCompletionData: Get current token: 0.006560921669006348
Info 156  [16:11:04.398] getCompletionData: Is inside comment: 0.023883938789367676
Info 157  [16:11:04.399] getCompletionData: Get previous token 1: 0.01641404628753662
Info 158  [16:11:04.399] getCompletionData: Get previous token 2: 0.17461395263671875
Info 159  [16:11:04.399] getCompletionsAtPosition: isCompletionListBlocker: 0.022810935974121094
Info 160  [16:11:04.402] getSymbolsFromOtherSourceFileExports: Using cached list
Info 161  [16:11:04.402] getCompletionData: Semantic work: 3.538933038711548
Info 162  [16:11:04.415] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.251085996627808
Info 163  [16:11:04.428] getCompletionData: Get current token: 0.010120034217834473
Info 164  [16:11:04.428] getCompletionData: Is inside comment: 0.03504502773284912
Info 165  [16:11:04.428] getCompletionData: Get previous token 1: 0.019764065742492676
Info 166  [16:11:04.428] getCompletionData: Get previous token 2: 0.03392302989959717
Info 167  [16:11:04.428] getCompletionsAtPosition: isCompletionListBlocker: 0.014715909957885742
Info 168  [16:11:04.439] getSymbolsFromOtherSourceFileExports: Using cached list
Info 169  [16:11:04.439] getCompletionData: Semantic work: 10.828355073928833
Info 170  [16:11:04.449] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.893893957138062
Info 171  [16:11:04.457] getCompletionData: Get current token: 0.008156061172485352
Info 172  [16:11:04.459] getCompletionData: Is inside comment: 0.02434408664703369
Info 173  [16:11:04.459] getCompletionData: Get previous token 1: 0.04196596145629883
Info 174  [16:11:04.459] getCompletionData: Get previous token 2: 0.03652691841125488
Info 175  [16:11:04.459] getCompletionsAtPosition: isCompletionListBlocker: 0.023199081420898438
Info 176  [16:11:04.462] getSymbolsFromOtherSourceFileExports: Using cached list
Info 177  [16:11:04.462] getCompletionData: Semantic work: 3.4522799253463745
Info 178  [16:11:04.466] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3.782371997833252
Info 179  [16:11:04.496] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 180  [16:11:04.571] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 23.66576600074768ms
Info 181  [16:11:04.571] Different program with same set of files:: structureIsReused:: 2
Info 182  [16:11:04.572] getCompletionData: Get current token: 0.010360002517700195
Info 183  [16:11:04.572] getCompletionData: Is inside comment: 0.02743399143218994
Info 184  [16:11:04.572] getCompletionData: Get previous token 1: 0.016924023628234863
Info 185  [16:11:04.572] getCompletionData: Get previous token 2: 0.14735496044158936
Info 186  [16:11:04.572] getCompletionsAtPosition: isCompletionListBlocker: 0.022435903549194336
Info 187  [16:11:04.575] getSymbolsFromOtherSourceFileExports: Using cached list
Info 188  [16:11:04.576] getCompletionData: Semantic work: 3.3503299951553345
Info 189  [16:11:04.579] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2.7931820154190063
Info 190  [16:11:04.591] getCompletionData: Get current token: 0.011289000511169434
Info 191  [16:11:04.591] getCompletionData: Is inside comment: 0.0334780216217041
Info 192  [16:11:04.591] getCompletionData: Get previous token 1: 0.02643406391143799
Info 193  [16:11:04.591] getCompletionData: Get previous token 2: 0.04307699203491211
Info 194  [16:11:04.591] getCompletionsAtPosition: isCompletionListBlocker: 0.025439023971557617
Info 195  [16:11:04.619] getSymbolsFromOtherSourceFileExports: Using cached list
Info 196  [16:11:04.619] getCompletionData: Semantic work: 28.268523931503296
Info 197  [16:11:04.623] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3.3438609838485718
Info 198  [16:11:04.634] getCompletionData: Get current token: 0.01149892807006836
Info 199  [16:11:04.634] getCompletionData: Is inside comment: 0.11329007148742676
Info 200  [16:11:04.634] getCompletionData: Get previous token 1: 0.023334980010986328
Info 201  [16:11:04.634] getCompletionData: Get previous token 2: 0.03448808193206787
Info 202  [16:11:04.635] getCompletionsAtPosition: isCompletionListBlocker: 0.01408696174621582
Info 203  [16:11:04.640] getSymbolsFromOtherSourceFileExports: Using cached list
Info 204  [16:11:04.640] getCompletionData: Semantic work: 5.889428973197937
Info 205  [16:11:04.646] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.174093961715698
Info 206  [16:11:04.652] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 207  [16:11:04.656] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 4.108326077461243ms
Info 208  [16:11:04.656] Different program with same set of files:: structureIsReused:: 2
Info 209  [16:11:04.656] getCompletionData: Get current token: 0.00672602653503418
Info 210  [16:11:04.657] getCompletionData: Is inside comment: 0.026295900344848633
Info 211  [16:11:04.657] getCompletionData: Get previous token 1: 0.02044498920440674
Info 212  [16:11:04.657] getCompletionData: Get previous token 2: 0.08062899112701416
Info 213  [16:11:04.657] getCompletionsAtPosition: isCompletionListBlocker: 0.019884943962097168
Info 214  [16:11:04.662] getSymbolsFromOtherSourceFileExports: Using cached list
Info 215  [16:11:04.665] getCompletionData: Semantic work: 8.181326985359192
Info 216  [16:11:04.671] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.179756999015808
Info 217  [16:11:04.726] getCompletionData: Get current token: 0.007173895835876465
Info 218  [16:11:04.726] getCompletionData: Is inside comment: 0.02524590492248535
Info 219  [16:11:04.726] getCompletionData: Get previous token 1: 0.017264962196350098
Info 220  [16:11:04.727] getCompletionData: Get previous token 2: 0.06092703342437744
Info 221  [16:11:04.727] getCompletionsAtPosition: isCompletionListBlocker: 0.01690495014190674
Info 222  [16:11:04.731] getSymbolsFromOtherSourceFileExports: Using cached list
Info 223  [16:11:04.743] getCompletionData: Semantic work: 15.605931997299194
Info 224  [16:11:04.749] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.4052159786224365
Info 225  [16:11:04.756] getCompletionData: Get current token: 0.008556008338928223
Info 226  [16:11:04.756] getCompletionData: Is inside comment: 0.031081080436706543
Info 227  [16:11:04.757] getCompletionData: Get previous token 1: 0.022029995918273926
Info 228  [16:11:04.757] getCompletionData: Get previous token 2: 0.030640006065368652
Info 229  [16:11:04.757] getCompletionsAtPosition: isCompletionListBlocker: 0.018692970275878906
Info 230  [16:11:04.762] getSymbolsFromOtherSourceFileExports: Using cached list
Info 231  [16:11:04.762] getCompletionData: Semantic work: 5.354436039924622
Info 232  [16:11:04.793] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 24.56046998500824
Info 233  [16:11:04.985] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 234  [16:11:04.993] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 7.136718034744263ms
Info 235  [16:11:04.993] Different program with same set of files:: structureIsReused:: 2
Info 236  [16:11:06.248] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 237  [16:11:06.253] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 5.030471086502075ms
Info 238  [16:11:06.254] Different program with same set of files:: structureIsReused:: 2
Info 239  [16:11:06.254] getCompletionData: Get current token: 0.0069800615310668945
Info 240  [16:11:06.254] getCompletionData: Is inside comment: 0.027020931243896484
Info 241  [16:11:06.254] getCompletionData: Get previous token 1: 0.016651034355163574
Info 242  [16:11:06.254] getCompletionData: Get previous token 2: 0.02713000774383545
Info 243  [16:11:06.254] getCompletionsAtPosition: isCompletionListBlocker: 0.011925101280212402
Info 244  [16:11:06.254] Returning an empty list because completion was requested in an invalid position.
Info 245  [16:11:07.817] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 246  [16:11:07.824] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 6.2350499629974365ms
Info 247  [16:11:07.824] Different program with same set of files:: structureIsReused:: 2
Info 248  [16:11:08.565] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 249  [16:11:08.569] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 4.081179976463318ms
Info 250  [16:11:08.569] Different program with same set of files:: structureIsReused:: 2
Info 251  [16:11:09.181] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 252  [16:11:09.186] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 4.264589071273804ms
Info 253  [16:11:09.186] Different program with same set of files:: structureIsReused:: 2
Info 254  [16:11:09.693] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 255  [16:11:09.696] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 3.5735599994659424ms
Info 256  [16:11:09.696] Different program with same set of files:: structureIsReused:: 2
Info 257  [16:11:11.860] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 258  [16:11:11.864] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 4.191915988922119ms
Info 259  [16:11:11.864] Different program with same set of files:: structureIsReused:: 2
Info 260  [16:11:12.125] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 261  [16:11:12.129] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 3.8754730224609375ms
Info 262  [16:11:12.129] Different program with same set of files:: structureIsReused:: 2
Info 263  [16:11:12.416] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 264  [16:11:12.420] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 3.7305270433425903ms
Info 265  [16:11:12.420] Different program with same set of files:: structureIsReused:: 2
Info 266  [16:11:16.599] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 267  [16:11:16.604] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 4.944701910018921ms
Info 268  [16:11:16.604] Different program with same set of files:: structureIsReused:: 2
Info 269  [16:11:16.605] getCompletionData: Get current token: 0.010854959487915039
Info 270  [16:11:16.605] getCompletionData: Is inside comment: 0.03999602794647217
Info 271  [16:11:16.605] getCompletionData: Get previous token 1: 0.030428051948547363
Info 272  [16:11:16.605] getCompletionsAtPosition: isCompletionListBlocker: 0.00790095329284668
Info 273  [16:11:16.608] getCompletionData: Semantic work: 2.8338629007339478
Info 274  [16:11:16.608] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.046795010566711426
Info 275  [16:11:18.189] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 276  [16:11:18.192] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 3.5204830169677734ms
Info 277  [16:11:18.192] Different program with same set of files:: structureIsReused:: 2
Info 278  [16:11:18.893] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 279  [16:11:18.898] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 5.028504014015198ms
Info 280  [16:11:18.899] Different program with same set of files:: structureIsReused:: 2
Info 281  [16:11:19.648] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 282  [16:11:19.654] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 5.844724059104919ms
Info 283  [16:11:19.654] Different program with same set of files:: structureIsReused:: 2
Info 284  [16:11:20.152] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 285  [16:11:20.157] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 4.69300103187561ms
Info 286  [16:11:20.157] Different program with same set of files:: structureIsReused:: 2
Info 287  [16:11:21.016] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 288  [16:11:21.020] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 3.95973002910614ms
Info 289  [16:11:21.023] Different program with same set of files:: structureIsReused:: 2
Info 290  [16:11:22.895] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 291  [16:11:22.902] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 6.197535991668701ms
Info 292  [16:11:22.902] Different program with same set of files:: structureIsReused:: 2
Info 293  [16:11:22.905] getCompletionData: Get current token: 0.12004005908966064
Info 294  [16:11:22.905] getCompletionData: Is inside comment: 0.07482099533081055
Info 295  [16:11:22.906] getCompletionData: Get previous token 1: 0.5475960969924927
Info 296  [16:11:22.906] getCompletionsAtPosition: isCompletionListBlocker: 0.010226964950561523
Info 297  [16:11:22.907] getCompletionData: Semantic work: 1.2160099744796753
Info 298  [16:11:22.908] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.15067803859710693
Info 299  [16:11:23.243] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 300  [16:11:23.250] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false Elapsed: 7.754495024681091ms
Info 301  [16:11:23.251] Different program with same set of files:: structureIsReused:: 2
Info 302  [16:11:23.254] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 303  [16:11:23.258] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false Elapsed: 3.8665950298309326ms
Info 304  [16:11:23.258] Different program with same set of files:: structureIsReused:: 2
Info 305  [16:11:23.785] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 306  [16:11:23.792] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false Elapsed: 6.753262042999268ms
Info 307  [16:11:23.792] Different program with same set of files:: structureIsReused:: 2
Info 308  [16:11:23.800] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 309  [16:11:23.804] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false Elapsed: 3.5100220441818237ms
Info 310  [16:11:23.804] Different program with same set of files:: structureIsReused:: 2
